method,threads,padding,time,m,n,p
2d,8,0,0.071006,8000,8000,1
2d,8,0,0.078275,8000,8000,1
2d,8,0,0.071161,8000,8000,1
2d,8,0,0.068218,8000,8000,1
2d,2,0,0.312779,8000,8000,2
2d,2,0,0.293911,8000,8000,2
2d,2,0,0.383862,8000,8000,2
2d,2,0,0.324220,8000,8000,2
2d,4,0,0.190576,8000,8000,2
2d,4,0,0.199072,8000,8000,2
2d,4,0,0.185213,8000,8000,2
2d,4,0,0.274936,8000,8000,2
2d,8,0,0.157753,8000,8000,2
2d,8,0,0.195944,8000,8000,2
2d,8,0,0.156168,8000,8000,2
2d,8,0,0.150867,8000,8000,2
2d,2,0,0.725095,8000,8000,4
2d,2,0,0.679371,8000,8000,4
2d,2,0,0.634180,8000,8000,4
2d,2,0,0.837731,8000,8000,4
2d,4,0,0.421328,8000,8000,4
2d,4,0,0.429053,8000,8000,4
2d,4,0,0.410778,8000,8000,4
2d,4,0,0.421789,8000,8000,4
2d,8,0,0.312483,8000,8000,4
2d,8,0,0.353436,8000,8000,4
2d,8,0,0.312474,8000,8000,4
2d,8,0,0.317497,8000,8000,4
2d,2,0,1.414168,8000,8000,8
2d,2,0,1.406945,8000,8000,8
2d,2,0,1.552208,8000,8000,8
2d,2,0,1.543951,8000,8000,8
2d,4,0,0.936851,8000,8000,8
2d,4,0,0.986970,8000,8000,8
2d,4,0,0.942024,8000,8000,8
2d,4,0,1.097255,8000,8000,8
2d,8,0,0.811514,8000,8000,8
2d,8,0,0.732956,8000,8000,8
2d,8,0,0.921651,8000,8000,8
2d,8,0,0.900729,8000,8000,8
2d,2,0,0.235480,8,8000000,1
2d,2,0,0.206438,8,8000000,1
2d,2,0,0.217438,8,8000000,1
2d,2,0,0.279808,8,8000000,1
2d,4,0,0.192923,8,8000000,1
2d,4,0,0.160227,8,8000000,1
2d,4,0,0.121803,8,8000000,1
2d,4,0,0.133482,8,8000000,1
2d,8,0,0.177140,8,8000000,1
2d,8,0,0.162637,8,8000000,1
2d,8,0,0.176820,8,8000000,1
2d,8,0,0.167350,8,8000000,1
2d,2,0,0.376800,8,8000000,2
2d,2,0,0.371879,8,8000000,2
2d,2,0,0.391911,8,8000000,2
2d,2,0,0.530636,8,8000000,2
2d,4,0,0.286104,8,8000000,2
2d,4,0,0.240768,8,8000000,2
2d,4,0,0.336018,8,8000000,2
2d,4,0,0.305658,8,8000000,2
2d,8,0,0.355750,8,8000000,2
2d,8,0,0.350349,8,8000000,2
2d,8,0,0.315820,8,8000000,2
2d,8,0,0.319990,8,8000000,2
2d,2,0,0.968601,8,8000000,4
2d,2,0,0.911482,8,8000000,4
2d,2,0,0.929024,8,8000000,4
2d,2,0,0.935841,8,8000000,4
2d,4,0,0.755161,8,8000000,4
2d,4,0,0.644414,8,8000000,4
2d,4,0,0.657812,8,8000000,4
2d,4,0,0.671238,8,8000000,4
2d,8,0,0.691658,8,8000000,4
2d,8,0,0.662523,8,8000000,4
2d,8,0,0.804831,8,8000000,4
2d,8,0,0.763396,8,8000000,4
2d,2,0,2.786144,8,8000000,8
2d,2,0,2.985610,8,8000000,8
2d,2,0,2.510002,8,8000000,8
2d,2,0,3.334388,8,8000000,8
2d,4,0,1.814647,8,8000000,8
2d,4,0,1.793875,8,8000000,8
2d,4,0,1.716411,8,8000000,8
2d,4,0,1.559063,8,8000000,8
2d,8,0,1.174717,8,8000000,8
2d,8,0,0.927432,8,8000000,8
2d,8,0,0.832954,8,8000000,8
2d,8,0,1.786580,8,8000000,8
private variable,2,0,16.490962,8000,8000,80
private variable,2,0,16.808287,8000,8000,80
private variable,2,0,16.553495,8000,8000,80
private variable,2,0,17.245900,8000,8000,80
private variable,4,0,10.165489,8000,8000,80
private variable,4,0,10.009647,8000,8000,80
private variable,4,0,10.176551,8000,8000,80
private variable,4,0,11.623804,8000,8000,80
private variable,8,0,9.112899,8000,8000,80
private variable,8,0,8.618948,8000,8000,80
private variable,8,0,8.623034,8000,8000,80
private variable,8,0,9.907855,8000,8000,80
private variable,2,0,0.181421,8000,8000,1
private variable,2,0,0.194991,8000,8000,1
private variable,2,0,0.180141,8000,8000,1
private variable,2,0,0.209664,8000,8000,1
private variable,4,0,0.118226,8000,8000,1
private variable,4,0,0.115810,8000,8000,1
private variable,4,0,0.104914,8000,8000,1
private variable,4,0,0.110633,8000,8000,1
private variable,8,0,0.053177,8000,8000,1
private variable,8,0,0.052289,8000,8000,1
private variable,8,0,0.062009,8000,8000,1
private variable,8,0,0.054404,8000,8000,1
private variable,2,0,0.377207,8000,8000,2
private variable,2,0,0.396559,8000,8000,2
private variable,2,0,0.361632,8000,8000,2
private variable,2,0,0.396658,8000,8000,2
private variable,4,0,0.200297,8000,8000,2
