method,threads,padding,time,m,n,p
padding,4,4,0.451932,8,8000000,4
padding,8,4,0.282282,8,8000000,4
padding,8,4,0.265446,8,8000000,4
padding,8,4,0.264032,8,8000000,4
padding,8,4,0.287377,8,8000000,4
padding,2,8,0.620160,8,8000000,4
padding,2,8,0.636713,8,8000000,4
padding,2,8,0.632817,8,8000000,4
padding,2,8,0.607767,8,8000000,4
padding,4,8,0.449960,8,8000000,4
padding,4,8,0.464751,8,8000000,4
padding,4,8,0.476839,8,8000000,4
padding,4,8,0.402312,8,8000000,4
padding,8,8,0.284979,8,8000000,4
padding,8,8,0.287059,8,8000000,4
padding,8,8,0.289741,8,8000000,4
padding,8,8,0.357993,8,8000000,4
padding,2,16,0.652530,8,8000000,4
padding,2,16,0.606330,8,8000000,4
padding,2,16,0.622647,8,8000000,4
padding,2,16,0.819022,8,8000000,4
padding,4,16,0.438015,8,8000000,4
padding,4,16,0.485187,8,8000000,4
padding,4,16,0.436719,8,8000000,4
padding,4,16,0.389963,8,8000000,4
padding,8,16,0.361349,8,8000000,4
padding,8,16,0.350439,8,8000000,4
padding,8,16,0.387770,8,8000000,4
padding,8,16,0.285680,8,8000000,4
padding,2,2,1.943884,8,8000000,8
padding,2,2,1.848133,8,8000000,8
padding,2,2,1.934202,8,8000000,8
padding,2,2,2.084397,8,8000000,8
padding,4,2,1.307384,8,8000000,8
padding,4,2,1.343901,8,8000000,8
padding,4,2,1.260225,8,8000000,8
padding,4,2,1.408499,8,8000000,8
padding,8,2,0.702056,8,8000000,8
padding,8,2,1.166346,8,8000000,8
padding,8,2,0.877157,8,8000000,8
padding,8,2,0.773905,8,8000000,8
padding,2,4,1.799230,8,8000000,8
padding,2,4,1.777978,8,8000000,8
padding,2,4,1.859102,8,8000000,8
padding,2,4,2.097182,8,8000000,8
padding,4,4,1.459545,8,8000000,8
padding,4,4,1.273425,8,8000000,8
padding,4,4,1.688138,8,8000000,8
padding,4,4,1.402651,8,8000000,8
padding,8,4,0.786258,8,8000000,8
padding,8,4,0.865825,8,8000000,8
padding,8,4,0.699487,8,8000000,8
padding,8,4,0.722898,8,8000000,8
padding,2,8,1.805469,8,8000000,8
padding,2,8,2.202928,8,8000000,8
padding,2,8,1.786047,8,8000000,8
padding,2,8,2.176634,8,8000000,8
padding,4,8,1.294117,8,8000000,8
padding,4,8,1.282292,8,8000000,8
padding,4,8,1.439984,8,8000000,8
padding,4,8,1.441635,8,8000000,8
padding,8,8,1.010699,8,8000000,8
padding,8,8,1.355411,8,8000000,8
padding,8,8,0.690048,8,8000000,8
padding,8,8,0.769071,8,8000000,8
padding,2,16,2.415313,8,8000000,8
padding,2,16,1.697889,8,8000000,8
padding,2,16,1.743308,8,8000000,8
padding,2,16,2.059647,8,8000000,8
padding,4,16,1.440645,8,8000000,8
padding,4,16,1.326535,8,8000000,8
padding,4,16,1.398791,8,8000000,8
padding,4,16,1.305663,8,8000000,8
padding,8,16,0.931462,8,8000000,8
padding,8,16,1.215046,8,8000000,8
padding,8,16,0.954428,8,8000000,8
padding,8,16,1.016485,8,8000000,8
