sch_type,chunk_size,threads,time
0,0,1,0.424369
0,0,1,0.432230
0,0,1,0.412677
0,0,1,0.427914
0,0,2,0.321364
0,0,2,0.317901
0,0,2,0.348444
0,0,2,0.321619
0,0,4,0.186095
0,0,4,0.184053
0,0,4,0.202533
0,0,4,0.222029
0,0,8,0.133755
0,0,8,0.146550
0,0,8,0.127878
0,0,8,0.146089
0,0,12,0.098601
0,0,12,0.102086
0,0,12,0.113494
0,0,12,0.107910
0,0,16,0.092815
0,0,16,0.088708
0,0,16,0.085281
0,0,16,0.115807
1,0,1,0.408629
1,0,1,0.439324
1,0,1,0.421186
1,0,1,0.431142
1,0,2,0.317770
1,0,2,0.327898
1,0,2,0.310161
1,0,2,0.327848
1,0,4,0.200015
1,0,4,0.202057
1,0,4,0.212937
1,0,4,0.199121
1,0,8,0.120065
1,0,8,0.129455
1,0,8,0.133042
1,0,8,0.142365
1,0,12,0.106073
1,0,12,0.102251
1,0,12,0.116938
1,0,12,0.111853
1,0,16,0.093103
1,0,16,0.097173
1,0,16,0.100003
1,0,16,0.098614
2,0,1,0.438215
2,0,1,0.435677
2,0,1,0.421360
2,0,1,0.427578
2,0,2,0.322479
2,0,2,0.333743
2,0,2,0.321352
2,0,2,0.342568
2,0,4,0.200141
2,0,4,0.197691
2,0,4,0.208284
2,0,4,0.207570
2,0,8,0.137802
2,0,8,0.128546
2,0,8,0.122550
2,0,8,0.114078
2,0,12,0.119720
2,0,12,0.111181
2,0,12,0.105241
2,0,12,0.100678
2,0,16,0.091881
2,0,16,0.100986
2,0,16,0.095641
2,0,16,0.097484
4,0,1,0.418556
4,0,1,0.426978
4,0,1,0.435531
4,0,1,0.455632
4,0,2,0.482967
4,0,2,0.487595
4,0,2,0.505055
4,0,2,0.496856
4,0,4,0.486091
4,0,4,0.479513
4,0,4,0.490300
4,0,4,0.494620
4,0,8,0.406807
4,0,8,0.391961
4,0,8,0.389080
4,0,8,0.398238
4,0,12,0.376163
4,0,12,0.359261
4,0,12,0.354072
4,0,12,0.355592
4,0,16,0.354453
4,0,16,0.378288
4,0,16,0.349288
4,0,16,0.357502
6,0,1,0.419064
6,0,1,0.435257
6,0,1,0.455632
6,0,1,0.441006
6,0,2,0.329483
6,0,2,0.356430
6,0,2,0.340296
6,0,2,0.331828
6,0,4,0.208439
6,0,4,0.200693
6,0,4,0.214675
6,0,4,0.201904
6,0,8,0.143371
6,0,8,0.148738
6,0,8,0.137060
6,0,8,0.140545
6,0,12,0.122295
6,0,12,0.108933
6,0,12,0.119743
6,0,12,0.112588
6,0,16,0.119038
6,0,16,0.088629
6,0,16,0.102890
6,0,16,0.094201
3,4,1,0.439406
3,4,1,0.409006
3,4,1,0.418503
3,4,1,0.420756
3,4,2,0.227795
3,4,2,0.223143
3,4,2,0.223624
3,4,2,0.229906
3,4,4,0.152153
3,4,4,0.156917
3,4,4,0.153952
3,4,4,0.135668
3,4,8,0.102262
3,4,8,0.094140
3,4,8,0.108741
3,4,8,0.105655
3,4,12,0.090618
3,4,12,0.087157
3,4,12,0.085602
3,4,12,0.106497
3,4,16,0.089757
3,4,16,0.096770
3,4,16,0.093108
3,4,16,0.105141
3,8,1,0.410098
3,8,1,0.417562
3,8,1,0.417977
3,8,1,0.429865
3,8,2,0.244341
3,8,2,0.259805
3,8,2,0.228312
3,8,2,0.231694
3,8,4,0.122664
3,8,4,0.129428
3,8,4,0.147078
3,8,4,0.127110
3,8,8,0.104070
3,8,8,0.103473
3,8,8,0.101481
3,8,8,0.099170
3,8,12,0.112427
3,8,12,0.090711
3,8,12,0.099641
3,8,12,0.088209
3,8,16,0.089220
3,8,16,0.085989
3,8,16,0.096623
3,8,16,0.085976
3,16,1,0.439420
3,16,1,0.437819
3,16,1,0.412271
3,16,1,0.425977
3,16,2,0.223535
3,16,2,0.233538
3,16,2,0.223069
3,16,2,0.227840
3,16,4,0.147209
3,16,4,0.156246
3,16,4,0.157959
3,16,4,0.133180
3,16,8,0.101322
3,16,8,0.106116
