sch_type,chunk_size,threads,time
3,16,8,0.103109
3,16,8,0.099469
3,16,12,0.083073
3,16,12,0.092582
3,16,12,0.086856
3,16,12,0.104117
3,16,16,0.084022
3,16,16,0.087143
3,16,16,0.088817
3,16,16,0.095322
3,32,1,0.461673
3,32,1,0.443287
3,32,1,0.415694
3,32,1,0.436245
3,32,2,0.221566
3,32,2,0.249307
3,32,2,0.245644
3,32,2,0.249435
3,32,4,0.138660
3,32,4,0.135244
3,32,4,0.151026
3,32,4,0.144611
3,32,8,0.095896
3,32,8,0.100156
3,32,8,0.104116
3,32,8,0.124550
3,32,12,0.082171
3,32,12,0.091122
3,32,12,0.082920
3,32,12,0.083912
3,32,16,0.086555
3,32,16,0.089852
3,32,16,0.092002
3,32,16,0.089509
3,64,1,0.430435
3,64,1,0.426774
3,64,1,0.439510
3,64,1,0.413341
3,64,2,0.219593
3,64,2,0.276580
3,64,2,0.264776
3,64,2,0.244626
3,64,4,0.136041
3,64,4,0.155263
3,64,4,0.148666
3,64,4,0.140503
3,64,8,0.086173
3,64,8,0.095658
3,64,8,0.092102
3,64,8,0.117340
3,64,12,0.090722
3,64,12,0.105763
3,64,12,0.083445
3,64,12,0.090980
3,64,16,0.102386
3,64,16,0.094414
3,64,16,0.085783
3,64,16,0.089393
3,128,1,0.439118
3,128,1,0.420906
3,128,1,0.430737
3,128,1,0.426605
3,128,2,0.237213
3,128,2,0.229158
3,128,2,0.240484
3,128,2,0.256036
3,128,4,0.132121
3,128,4,0.128275
3,128,4,0.141354
3,128,4,0.128114
3,128,8,0.093876
3,128,8,0.100175
3,128,8,0.095819
3,128,8,0.113666
3,128,12,0.082908
3,128,12,0.114129
3,128,12,0.097595
3,128,12,0.108717
3,128,16,0.086963
3,128,16,0.086653
3,128,16,0.086517
3,128,16,0.085225
5,4,1,0.411062
5,4,1,0.434317
5,4,1,0.422691
5,4,1,0.437112
5,4,2,0.425365
5,4,2,0.429947
5,4,2,0.433370
5,4,2,0.448398
5,4,4,0.343246
5,4,4,0.327292
5,4,4,0.326754
5,4,4,0.384605
5,4,8,0.234388
5,4,8,0.235755
5,4,8,0.230575
5,4,8,0.234195
5,4,12,0.190967
5,4,12,0.198298
5,4,12,0.188343
5,4,12,0.187152
5,4,16,0.184345
5,4,16,0.188615
5,4,16,0.184132
5,4,16,0.193144
5,8,1,0.443640
5,8,1,0.425971
5,8,1,0.436240
5,8,1,0.437698
5,8,2,0.296552
5,8,2,0.315649
5,8,2,0.301203
5,8,2,0.331192
5,8,4,0.188836
5,8,4,0.187998
5,8,4,0.199052
5,8,4,0.191238
5,8,8,0.126658
5,8,8,0.131066
5,8,8,0.127455
5,8,8,0.127157
5,8,12,0.110650
5,8,12,0.149957
5,8,12,0.159106
5,8,12,0.141314
5,8,16,0.125479
5,8,16,0.123055
5,8,16,0.121647
5,8,16,0.125771
5,16,1,0.495690
5,16,1,0.499549
5,16,1,0.453814
5,16,1,0.466187
5,16,2,0.271059
5,16,2,0.281398
5,16,2,0.265426
5,16,2,0.302403
5,16,4,0.157886
5,16,4,0.155774
5,16,4,0.126012
5,16,4,0.155056
5,16,8,0.097557
5,16,8,0.103275
5,16,8,0.097308
5,16,8,0.104889
5,16,12,0.093022
5,16,12,0.097969
5,16,12,0.085146
5,16,12,0.087204
5,16,16,0.088160
5,16,16,0.085605
5,16,16,0.099722
5,16,16,0.080932
5,32,1,0.466961
5,32,1,0.462729
5,32,1,0.490362
5,32,1,0.442979
5,32,2,0.238696
5,32,2,0.226249
5,32,2,0.237158
5,32,2,0.238384
5,32,4,0.138737
5,32,4,0.139417
5,32,4,0.137162
5,32,4,0.128701
5,32,8,0.087154
5,32,8,0.093175
5,32,8,0.088909
5,32,8,0.088549
5,32,12,0.076271
5,32,12,0.083387
5,32,12,0.075740
5,32,12,0.078389
5,32,16,0.076103
5,32,16,0.079273
5,32,16,0.076874
5,32,16,0.079073
5,64,1,0.515947
5,64,1,0.508018
5,64,1,0.436918
5,64,1,0.452853
5,64,2,0.257857
5,64,2,0.241812
5,64,2,0.246208
5,64,2,0.237388
5,64,4,0.134484
5,64,4,0.128078
5,64,4,0.137929
5,64,4,0.121148
5,64,8,0.100465
5,64,8,0.082465
5,64,8,0.091899
5,64,8,0.085633
5,64,12,0.076741
5,64,12,0.077146
5,64,12,0.076093
5,64,12,0.095635
5,64,16,0.075247
5,64,16,0.081863
5,64,16,0.085899
5,64,16,0.077970
5,128,1,0.439876
5,128,1,0.430845
5,128,1,0.423985
5,128,1,0.431503
5,128,2,0.233757
5,128,2,0.237259
5,128,2,0.230842
5,128,2,0.230479
5,128,4,0.126809
5,128,4,0.124047
5,128,4,0.128932
5,128,4,0.131976
5,128,8,0.096439
5,128,8,0.083696
5,128,8,0.084947
5,128,8,0.085963
5,128,12,0.088661
5,128,12,0.085543
5,128,12,0.075204
5,128,12,0.076386
5,128,16,0.077756
5,128,16,0.081991
5,128,16,0.079708
5,128,16,0.093296
7,4,1,0.432487
7,4,1,0.462542
7,4,1,0.426645
7,4,1,0.469052
7,4,2,0.340380
7,4,2,0.338405
7,4,2,0.347688
7,4,2,0.345910
7,4,4,0.201872
7,4,4,0.219112
7,4,4,0.192372
7,4,4,0.223113
7,4,8,0.140923
7,4,8,0.124222
7,4,8,0.145432
7,4,8,0.153278
7,4,12,0.141681
7,4,12,0.124249
7,4,12,0.118674
7,4,12,0.112673
7,4,16,0.117150
7,4,16,0.098554
7,4,16,0.101363
7,4,16,0.111002
7,8,1,0.420803
7,8,1,0.442466
7,8,1,0.413150
7,8,1,0.419673
7,8,2,0.345553
7,8,2,0.332940
7,8,2,0.330529
7,8,2,0.346958
7,8,4,0.244626
7,8,4,0.201086
7,8,4,0.229719
7,8,4,0.196223
7,8,8,0.126289
7,8,8,0.134726
7,8,8,0.132748
7,8,8,0.142716
7,8,12,0.100911
7,8,12,0.117404
7,8,12,0.121539
7,8,12,0.113674
7,8,16,0.088914
7,8,16,0.086376
7,8,16,0.096378
7,8,16,0.092437
7,16,1,0.432700
7,16,1,0.448090
7,16,1,0.454751
7,16,1,0.438511
7,16,2,0.341777
7,16,2,0.322315
7,16,2,0.328381
7,16,2,0.351372
7,16,4,0.215205
7,16,4,0.196793
7,16,4,0.206276
7,16,4,0.195420
7,16,8,0.117936
7,16,8,0.139455
7,16,8,0.142819
7,16,8,0.124861
7,16,12,0.117633
7,16,12,0.117716
7,16,12,0.120016
7,16,12,0.106326
7,16,16,0.094026
7,16,16,0.090994
7,16,16,0.100805
7,16,16,0.092752
7,32,1,0.422206
7,32,1,0.420161
7,32,1,0.468275
7,32,1,0.422658
7,32,2,0.323654
7,32,2,0.351709
7,32,2,0.335343
7,32,2,0.322004
7,32,4,0.212175
7,32,4,0.210146
7,32,4,0.206620
7,32,4,0.207320
7,32,8,0.125096
7,32,8,0.131619
7,32,8,0.122973
7,32,8,0.150448
7,32,12,0.113475
7,32,12,0.129570
7,32,12,0.112442
7,32,12,0.111021
7,32,16,0.091561
7,32,16,0.100407
7,32,16,0.098154
7,32,16,0.100507
7,64,1,0.414180
7,64,1,0.425569
7,64,1,0.422357
7,64,1,0.431202
7,64,2,0.328164
7,64,2,0.334716
7,64,2,0.317842
7,64,2,0.341868
7,64,4,0.202586
7,64,4,0.200362
7,64,4,0.212623
7,64,4,0.214960
7,64,8,0.127203
7,64,8,0.138026
7,64,8,0.127210
7,64,8,0.154619
7,64,12,0.146291
7,64,12,0.113193
7,64,12,0.191564
7,64,12,0.111063
7,64,16,0.092615
7,64,16,0.093618
7,64,16,0.137558
7,64,16,0.095507
7,128,1,0.450746
7,128,1,0.441314
7,128,1,0.429646
7,128,1,0.464246
7,128,2,0.332053
7,128,2,0.327470
7,128,2,0.355330
7,128,2,0.345078
7,128,4,0.199421
7,128,4,0.210305
7,128,4,0.217309
7,128,4,0.212504
7,128,8,0.131956
7,128,8,0.148724
7,128,8,0.140754
7,128,8,0.126732
7,128,12,0.120701
7,128,12,0.103596
7,128,12,0.113793
7,128,12,0.106084
7,128,16,0.091168
7,128,16,0.094208
7,128,16,0.094185
7,128,16,0.089094
