scl_type	chunk_size	threads	time
guided cs	16	16	0.01393475
guided cs	32	1	0.055963
guided cs	32	2	0.032704250000000004
guided cs	32	4	0.01724875
guided cs	32	6	0.013979249999999999
guided cs	32	8	0.01275625
guided cs	32	12	0.011774
guided cs	32	16	0.01242925
guided cs	64	1	0.06312525
guided cs	64	2	0.0353245
guided cs	64	4	0.018852
guided cs	64	6	0.01480575
guided cs	64	8	0.01490325
guided cs	64	12	0.0175555
guided cs	64	16	0.013795
guided cs	128	1	0.0593065
guided cs	128	2	0.033318
guided cs	128	4	0.020320750000000002
guided cs	128	6	0.01443275
guided cs	128	8	0.01433825
guided cs	128	12	0.014966750000000001
guided cs	128	16	0.01543375
