scl_type,chunk_size,threads,time
2,0,2,0.335702
2,0,2,0.329007
2,0,2,0.333743
2,0,2,0.338022
2,0,4,0.212152
2,0,4,0.213694
2,0,4,0.228768
2,0,4,0.215819
2,0,8,0.119390
2,0,8,0.146187
2,0,8,0.129439
2,0,8,0.134972
3,1,2,0.234611
3,1,2,0.234810
3,1,2,0.246897
3,1,2,0.244795
3,1,4,0.149849
3,1,4,0.145197
3,1,4,0.121930
3,1,4,0.147931
3,1,8,0.098084
3,1,8,0.104976
3,1,8,0.100185
3,1,8,0.109851
3,4,2,0.267644
3,4,2,0.243426
3,4,2,0.242068
3,4,2,0.279447
3,4,4,0.134341
3,4,4,0.142405
3,4,4,0.150319
3,4,4,0.132225
3,4,8,0.103998
3,4,8,0.106266
3,4,8,0.106255
3,4,8,0.107770
3,8,2,0.263516
3,8,2,0.256151
3,8,2,0.255385
3,8,2,0.258425
3,8,4,0.162483
3,8,4,0.153782
3,8,4,0.131500
3,8,4,0.142635
3,8,8,0.105330
3,8,8,0.100992
3,8,8,0.119901
3,8,8,0.096092
3,2048,2,0.260737
3,2048,2,0.259971
3,2048,2,0.252585
3,2048,2,0.253555
3,2048,4,0.156708
3,2048,4,0.159830
3,2048,4,0.167223
3,2048,4,0.191479
3,2048,8,0.149899
3,2048,8,0.133122
3,2048,8,0.148434
3,2048,8,0.135339
