scl_type,chunk_size,threads,time
2,16,1,0.058407
2,16,1,0.059949
2,16,1,0.058750
2,16,2,0.028862
2,16,2,0.031889
2,16,2,0.033317
2,16,2,0.038221
2,16,4,0.024303
2,16,4,0.021744
2,16,4,0.020812
2,16,4,0.023127
2,16,6,0.014345
2,16,6,0.017678
2,16,6,0.021784
2,16,6,0.011992
2,16,8,0.014827
2,16,8,0.014475
2,16,8,0.014533
2,16,8,0.013272
2,16,12,0.031053
2,16,12,0.024908
2,16,12,0.044990
2,16,12,0.016878
2,16,16,0.014308
2,16,16,0.015562
2,16,16,0.013087
2,16,16,0.014226
2,32,1,0.056279
2,32,1,0.067939
2,32,1,0.061377
2,32,1,0.058959
2,32,2,0.030989
2,32,2,0.036488
2,32,2,0.029661
2,32,2,0.032389
2,32,4,0.018589
2,32,4,0.021490
2,32,4,0.014851
2,32,4,0.019707
2,32,6,0.012829
2,32,6,0.017991
2,32,6,0.012316
2,32,6,0.015658
2,32,8,0.014534
2,32,8,0.013502
2,32,8,0.014689
2,32,8,0.014156
2,32,12,0.012872
2,32,12,0.017759
2,32,12,0.013141
2,32,12,0.014159
2,32,16,0.022850
2,32,16,0.014747
2,32,16,0.014359
2,32,16,0.012741
2,64,1,0.052556
2,64,1,0.053317
2,64,1,0.054175
2,64,1,0.065381
2,64,2,0.027667
2,64,2,0.031667
2,64,2,0.027290
2,64,2,0.028878
2,64,4,0.021924
2,64,4,0.017110
2,64,4,0.017289
2,64,4,0.019169
2,64,6,0.017040
2,64,6,0.017749
2,64,6,0.013735
2,64,6,0.017502
2,64,8,0.013854
2,64,8,0.012260
2,64,8,0.013184
2,64,8,0.013808
2,64,12,0.026282
2,64,12,0.012763
2,64,12,0.012768
2,64,12,0.011866
2,64,16,0.013646
2,64,16,0.014800
2,64,16,0.013943
2,64,16,0.015560
2,128,1,0.053216
2,128,1,0.052130
2,128,1,0.056053
2,128,1,0.064656
2,128,2,0.030240
2,128,2,0.031162
2,128,2,0.030965
2,128,2,0.026700
2,128,4,0.015671
2,128,4,0.015563
2,128,4,0.021188
2,128,4,0.014890
2,128,6,0.026549
2,128,6,0.017693
2,128,6,0.018380
2,128,6,0.017624
2,128,8,0.036511
2,128,8,0.014667
2,128,8,0.015871
2,128,8,0.013616
2,128,12,0.015568
2,128,12,0.013781
2,128,12,0.038262
2,128,12,0.025692
2,128,16,0.017258
2,128,16,0.015270
2,128,16,0.014418
2,128,16,0.013178
4,1,1,0.063430
4,1,1,0.054807
4,1,1,0.064392
4,1,1,0.057527
4,1,2,0.067046
4,1,2,0.064850
4,1,2,0.062098
4,1,2,0.060842
4,1,4,0.071005
4,1,4,0.064241
4,1,4,0.059334
4,1,4,0.087718
4,1,6,0.071750
4,1,6,0.061387
4,1,6,0.074964
4,1,6,0.061234
4,1,8,0.054866
4,1,8,0.071090
4,1,8,0.054600
4,1,8,0.051988
4,1,12,0.076373
4,1,12,0.059272
4,1,12,0.045671
4,1,12,0.048476
4,1,16,0.049409
4,1,16,0.046758
4,1,16,0.044691
4,1,16,0.048712
4,2,1,0.053815
4,2,1,0.058104
4,2,1,0.057711
4,2,1,0.064200
4,2,2,0.068174
4,2,2,0.057845
4,2,2,0.058919
4,2,2,0.056158
4,2,4,0.058064
4,2,4,0.050832
4,2,4,0.046604
4,2,4,0.047713
4,2,6,0.045660
4,2,6,0.047331
4,2,6,0.048937
4,2,6,0.057028
4,2,8,0.052641
4,2,8,0.045138
4,2,8,0.039539
4,2,8,0.046522
4,2,12,0.037995
4,2,12,0.040760
4,2,12,0.038018
4,2,12,0.031370
4,2,16,0.035250
4,2,16,0.036913
4,2,16,0.031443
4,2,16,0.032910
4,4,1,0.057421
4,4,1,0.058363
4,4,1,0.057517
4,4,1,0.061477
4,4,2,0.066593
4,4,2,0.060050
4,4,2,0.052230
4,4,2,0.059330
4,4,4,0.042971
4,4,4,0.048434
4,4,4,0.039346
4,4,4,0.046640
4,4,6,0.047628
4,4,6,0.040262
4,4,6,0.035741
4,4,6,0.030948
4,4,8,0.031114
4,4,8,0.030423
4,4,8,0.030956
4,4,8,0.031384
4,4,12,0.036634
4,4,12,0.025723
4,4,12,0.028637
4,4,12,0.027296
4,4,16,0.027102
4,4,16,0.029248
4,4,16,0.025429
4,4,16,0.026774
4,8,1,0.052830
4,8,1,0.055653
4,8,1,0.059517
4,8,1,0.054191
4,8,2,0.037574
4,8,2,0.034536
4,8,2,0.036097
4,8,2,0.055134
4,8,4,0.022886
4,8,4,0.025150
4,8,4,0.028572
4,8,4,0.025411
4,8,6,0.025568
4,8,6,0.025073
4,8,6,0.020336
4,8,6,0.023280
4,8,8,0.016677
4,8,8,0.017036
4,8,8,0.016934
4,8,8,0.014744
4,8,12,0.016433
4,8,12,0.018407
4,8,12,0.015550
4,8,12,0.017368
4,8,16,0.015053
4,8,16,0.015180
4,8,16,0.015657
4,8,16,0.020026
4,16,1,0.063519
4,16,1,0.089336
4,16,1,0.082469
4,16,1,0.061989
4,16,2,0.040649
4,16,2,0.033885
4,16,2,0.033482
4,16,2,0.034440
4,16,4,0.021846
4,16,4,0.015563
4,16,4,0.014689
4,16,4,0.019957
4,16,6,0.013545
4,16,6,0.013239
4,16,6,0.011692
4,16,6,0.012790
4,16,8,0.015541
4,16,8,0.011810
4,16,8,0.017335
4,16,8,0.011565
4,16,12,0.013931
4,16,12,0.011970
4,16,12,0.024146
4,16,12,0.011265
4,16,16,0.011416
4,16,16,0.009943
4,16,16,0.010266
4,16,16,0.011633
4,32,1,0.058096
4,32,1,0.054893
4,32,1,0.058012
4,32,1,0.057661
4,32,2,0.031178
4,32,2,0.031908
4,32,2,0.030495
4,32,2,0.029758
4,32,4,0.017161
4,32,4,0.017296
4,32,4,0.023261
4,32,4,0.019287
4,32,6,0.015733
4,32,6,0.014374
4,32,6,0.012555
4,32,6,0.010444
4,32,8,0.012454
4,32,8,0.012538
4,32,8,0.017009
4,32,8,0.011415
4,32,12,0.033774
4,32,12,0.011280
4,32,12,0.011833
4,32,12,0.011488
4,32,16,0.012749
4,32,16,0.012083
4,32,16,0.011748
4,32,16,0.010530
4,64,1,0.064222
4,64,1,0.054031
4,64,1,0.052903
4,64,1,0.074621
4,64,2,0.029326
4,64,2,0.028369
4,64,2,0.030801
4,64,2,0.039331
4,64,4,0.015865
4,64,4,0.015943
4,64,4,0.016786
4,64,4,0.013999
4,64,6,0.019747
4,64,6,0.011020
4,64,6,0.014268
4,64,6,0.014490
4,64,8,0.011952
4,64,8,0.012405
4,64,8,0.013021
4,64,8,0.011659
4,64,12,0.028225
4,64,12,0.012860
4,64,12,0.037989
4,64,12,0.014446
4,64,16,0.011757
4,64,16,0.011579
4,64,16,0.011630
4,64,16,0.014274
4,128,1,0.059646
4,128,1,0.060420
4,128,1,0.061491
4,128,1,0.063706
4,128,2,0.039215
4,128,2,0.031416
4,128,2,0.033847
4,128,2,0.039759
4,128,4,0.020364
4,128,4,0.014358
4,128,4,0.019971
4,128,4,0.022699
4,128,6,0.013308
4,128,6,0.010791
4,128,6,0.011423
4,128,6,0.012301
4,128,8,0.012615
4,128,8,0.013847
4,128,8,0.012564
4,128,8,0.012011
4,128,12,0.011912
4,128,12,0.012223
4,128,12,0.012440
4,128,12,0.041847
4,128,16,0.013143
4,128,16,0.014244
4,128,16,0.013272
4,128,16,0.014872
6,1,1,0.068317
6,1,1,0.068788
6,1,1,0.059578
6,1,1,0.066687
6,1,2,0.036160
6,1,2,0.030762
6,1,2,0.036845
6,1,2,0.030837
6,1,4,0.022163
6,1,4,0.023944
6,1,4,0.020687
6,1,4,0.024963
6,1,6,0.011693
6,1,6,0.015868
6,1,6,0.013969
6,1,6,0.012187
6,1,8,0.012657
6,1,8,0.011318
6,1,8,0.012333
6,1,8,0.012637
6,1,12,0.013692
6,1,12,0.029546
6,1,12,0.012783
6,1,12,0.011541
6,1,16,0.011802
6,1,16,0.012499
6,1,16,0.011367
6,1,16,0.012565
6,2,1,0.052554
6,2,1,0.054215
6,2,1,0.058678
6,2,1,0.055822
6,2,2,0.034924
6,2,2,0.031332
6,2,2,0.031516
6,2,2,0.041617
6,2,4,0.018380
6,2,4,0.016014
6,2,4,0.026625
6,2,4,0.017732
6,2,6,0.015397
6,2,6,0.014007
6,2,6,0.015581
6,2,6,0.012434
6,2,8,0.013181
6,2,8,0.014038
6,2,8,0.013476
6,2,8,0.014448
6,2,12,0.013119
6,2,12,0.016586
6,2,12,0.015517
6,2,12,0.013015
6,2,16,0.013066
6,2,16,0.011172
6,2,16,0.017301
6,2,16,0.014150
6,4,1,0.058321
6,4,1,0.060326
6,4,1,0.057320
6,4,1,0.060487
6,4,2,0.040781
6,4,2,0.028723
6,4,2,0.029805
6,4,2,0.031227
6,4,4,0.016272
6,4,4,0.016986
6,4,4,0.018129
6,4,4,0.016218
6,4,6,0.011958
6,4,6,0.016109
6,4,6,0.012345
6,4,6,0.011835
6,4,8,0.013717
6,4,8,0.014838
6,4,8,0.015031
6,4,8,0.011640
6,4,12,0.012980
6,4,12,0.017200
6,4,12,0.016904
6,4,12,0.011419
6,4,16,0.012890
6,4,16,0.011887
6,4,16,0.013122
6,4,16,0.011289
6,8,1,0.055942
6,8,1,0.066492
6,8,1,0.057650
6,8,1,0.060385
6,8,2,0.054642
6,8,2,0.031653
6,8,2,0.031604
6,8,2,0.031955
6,8,4,0.016614
6,8,4,0.015640
6,8,4,0.014351
6,8,4,0.015720
6,8,6,0.013385
6,8,6,0.011991
6,8,6,0.009782
6,8,6,0.017990
6,8,8,0.013783
6,8,8,0.011981
6,8,8,0.011811
6,8,8,0.012641
6,8,12,0.014570
6,8,12,0.011299
6,8,12,0.018703
6,8,12,0.010456
6,8,16,0.011276
6,8,16,0.012501
6,8,16,0.015324
6,8,16,0.014396
6,16,1,0.057814
6,16,1,0.056517
6,16,1,0.060359
6,16,1,0.066585
6,16,2,0.030831
6,16,2,0.029231
6,16,2,0.029343
6,16,2,0.040662
6,16,4,0.022233
6,16,4,0.017659
6,16,4,0.016078
6,16,4,0.016580
6,16,6,0.012737
6,16,6,0.010184
6,16,6,0.016431
6,16,6,0.015442
6,16,8,0.012778
6,16,8,0.013074
6,16,8,0.013970
6,16,8,0.026453
6,16,12,0.011556
6,16,12,0.015139
6,16,12,0.017401
6,16,12,0.012334
6,16,16,0.012054
6,16,16,0.014157
6,16,16,0.016769
6,16,16,0.012759
6,32,1,0.058166
6,32,1,0.056280
6,32,1,0.057698
6,32,1,0.051708
6,32,2,0.029000
6,32,2,0.032847
