scl_type,chunk_size,threads,time
2,0,2,0.026619
2,0,2,0.021069
2,0,2,0.020525
2,0,2,0.020094
2,0,4,0.011866
2,0,4,0.012948
2,0,4,0.015213
2,0,4,0.012190
2,0,8,0.009090
2,0,8,0.011034
2,0,8,0.012654
2,0,8,0.009974
3,1,2,0.014505
3,1,2,0.016577
3,1,2,0.017424
3,1,2,0.015713
3,1,4,0.011653
3,1,4,0.008611
3,1,4,0.009288
3,1,4,0.008018
3,1,8,0.008019
3,1,8,0.007974
3,1,8,0.009981
3,1,8,0.009545
3,4,2,0.015147
3,4,2,0.019862
3,4,2,0.020449
3,4,2,0.015939
3,4,4,0.008184
3,4,4,0.010961
3,4,4,0.008727
3,4,4,0.008381
3,4,8,0.007685
3,4,8,0.007961
3,4,8,0.007789
3,4,8,0.007487
3,8,2,0.017073
3,8,2,0.016709
3,8,2,0.016273
3,8,2,0.018511
3,8,4,0.012923
3,8,4,0.008442
3,8,4,0.008099
3,8,4,0.010063
3,8,8,0.007031
3,8,8,0.006960
3,8,8,0.007628
3,8,8,0.007387
3,2048,2,0.020690
3,2048,2,0.019818
3,2048,2,0.021081
3,2048,2,0.019289
3,2048,4,0.022679
3,2048,4,0.022171
3,2048,4,0.020748
3,2048,4,0.022053
3,2048,8,0.020160
3,2048,8,0.022490
3,2048,8,0.024520
3,2048,8,0.025857
